@RELATION clima
@ATTRIBUTE FECHA date dd-MM
@ATTRIBUTE T_MAX real
@ATTRIBUTE T_MED real
@ATTRIBUTE T_MIN real
@ATTRIBUTE H_R_MAX real
@ATTRIBUTE H_R_MED real
@ATTRIBUTE H_R_MIN real
@ATTRIBUTE RADIACION real
@ATTRIBUTE class {VERDADERO,FALSO}
@ATTRIBUTE LLUVIA2 real
@ATTRIBUTE LLUVIA_MIN real
@ATTRIBUTE T_S_MAX real
@ATTRIBUTE T_S_MED real
@ATTRIBUTE T_S_MIN real
@ATTRIBUTE V_MAX real
@ATTRIBUTE V_MED real
@ATTRIBUTE V_MIN real
@ATTRIBUTE CV1 integer
@ATTRIBUTE CV2 integer 
@ATTRIBUTE CV3 integer
@ATTRIBUTE CV4 integer
@ATTRIBUTE DIRECCION integer
@ATTRIBUTE HORAS integer
@ATTRIBUTE H_T integer
@ATTRIBUTE H_HR integer
@ATTRIBUTE H_R integer
@ATTRIBUTE H_LL integer
@ATTRIBUTE H_TS integer
@ATTRIBUTE H_V integer
@ATTRIBUTE H_D integer
@ATTRIBUTE CALCULOS integer
@ATTRIBUTE MTMEN0 integer
@ATTRIBUTE MTMEN7 integer
@ATTRIBUTE MTMA30 integer
@ATTRIBUTE MVMA50 integer

@DATA
25-2,20.08,13.71375,6.76,96.5,79.1125,41,18.41599,FALSO,0,0,15.58,14.12292,12.37,13.2,2.989625,0,81,79,558,722,4,24,24,24,24,24,24,24,24,1,0,14,0,0
26-2,19.02,13.83958,7.58,96.5,81.27503,50.7,19.42608,FALSO,0,0,16.2,14.97375,13.49,13.5,3.307875,0,20,40,712,668,3,24,24,24,24,24,24,24,24,1,0,0,0,0
27-2,19.13,13.64875,9.06,96.2,80.94582,55.7,19.01272,FALSO,0,0,16.67,15.49208,14.24,16.2,3.348458,0,3,29,657,751,4,24,24,24,24,24,24,24,24,1,0,0,0,0
28-2,19.15,13.26792,7.66,94.9,76.5375,43.9,16.70229,FALSO,0,0,16.1,14.62833,13.05,14.1,2.086042,0,64,127,515,734,4,24,24,24,24,24,24,24,24,1,0,0,0,0
1-3,18.42,14.67083,10.27,91.6,77.46251,62.1,15.2825,FALSO,0,0,16.87,15.40667,13.88,32.1,6.387415,0,3,30,907,500,3,24,24,24,24,24,24,24,24,1,0,0,0,0
2-3,15.97,11.97083,7.71,92.6,77.3125,50.1,15.72344,VERDADERO,8.2,82,15.82,14.20958,12.75,13.8,2.76475,0,24,87,861,468,3,24,24,24,24,24,24,24,24,1,0,0,0,0
3-3,15.6,12.31417,7.07,88.5,75.84584,58.2,9.780717,FALSO,0,0,14.29,12.66167,11.19,26.1,7.837999,0,383,782,37,238,2,24,24,24,24,24,24,24,24,1,0,0,0,0
4-3,14.46,11.2675,7.36,91.2,81.99583,68.8,8.1774,VERDADERO,35,229,13.41,12.65292,11.64,16.8,4.071917,0,98,245,612,485,3,24,24,24,24,24,24,24,24,1,0,0,0,0
5-3,17.2,11.72667,5.62,93.3,68.76332,35.1,18.54168,FALSO,0,0,12.76,11.33417,9.71,24.3,4.493541,0,61,60,579,740,4,24,24,24,24,24,24,24,24,1,0,454,0,0
6-3,17.67,13.39,9.03,82.1,55.68126,35.83,11.93191,FALSO,0,0,13.52,11.94083,10.19,17.7,3.253375,0,79,276,506,579,4,24,24,24,24,24,24,24,24,1,0,0,0,0
7-3,15.65,12.39792,10.37,84.7,70.55,50.4,9.333576,FALSO,0,0,13.09,12.25083,11.57,18,3.874916,0,255,441,132,612,4,24,24,24,24,24,24,24,24,1,0,0,0,0
8-3,17.88,12.19292,8.16,91.5,72.83624,38.77,12.86759,FALSO,0,0,13.89,12.32833,10.85,21,3.36375,0,145,352,141,802,4,24,24,24,24,24,24,24,24,1,0,0,0,0
9-3,17.79,12.89458,8.55,91.1,78.68333,53,18.97053,FALSO,0,0,14.47,12.80292,11.22,17.4,3.274833,0,6,27,769,638,3,24,24,24,24,24,24,24,24,1,0,0,0,0
10-3,19.44,13.86375,7.55,94.7,79.05833,52.8,19.9754,FALSO,0,0,15.54,13.73333,11.61,16.2,2.491959,0,9,18,694,719,4,24,24,24,24,24,24,24,24,1,0,0,0,0
11-3,20.81,14.98458,10.15,94.8,74.06249,41.7,17.01151,FALSO,0,0,17.01,15.11417,13.37,11.4,2.813584,0,101,93,539,707,4,24,24,24,24,24,24,24,24,1,0,0,0,0
12-3,19.51,14.735,10.25,93.2,71.84585,47.4,12.39833,FALSO,0,0,15.88,14.52541,13,25.8,8.174667,0,287,818,63,272,2,24,24,24,24,24,24,24,24,1,0,0,0,0
13-3,20.38,14.87583,12.98,72.6,60.9125,41.1,13.78012,FALSO,0,0,16.29,14.71834,13.36,32.4,9.560292,0,99,481,628,232,3,24,24,24,24,24,24,24,24,1,0,0,0,0
14-3,17.52,14.11958,11.71,87.7,69.41249,51.4,15.06319,VERDADERO,4.1,32,14.31,13.56292,12.94,32.1,10.5605,0,1,18,1079,342,3,24,24,24,24,24,24,24,24,1,0,0,0,0
15-3,17.91,12.78875,6.93,91,76.2125,56.6,19.80158,FALSO,0,0,15.15,13.31208,11.1,23.7,4.02571,0,5,15,837,583,3,24,24,24,24,24,24,24,24,1,0,5,0,0
16-3,15.38,11.49833,8.69,92.2,85.21667,64.2,5.688684,VERDADERO,1.8,18,13.92,12.95459,12.04,17.1,2.270625,0,22,42,597,779,4,24,24,24,24,24,24,24,24,1,0,0,0,0
17-3,18.76,12.825,5.72,91.9,70.2125,41.7,21.84032,FALSO,0.1,1,15.02,12.93167,10.1,17.1,3.284375,0,44,77,760,559,3,24,24,24,24,24,24,24,24,1,0,163,0,0
18-3,19.37,14.0475,8.74,92.7,80.41666,49.8,20.41495,FALSO,0,0,16.39,14.32458,12.03,20.1,3.606958,0,10,47,772,611,3,24,24,24,24,24,24,24,24,1,0,0,0,0
19-3,21.65,15.17917,8.35,95,77.2875,51.8,21.95516,FALSO,0,0,18.26,15.88125,13.13,12.6,2.103792,0,12,53,660,715,4,24,24,24,24,24,24,24,24,1,0,0,0,0
20-3,25.34,16.70667,8.66,91.9,66.65791,28.59,22.87055,FALSO,0,0,19.34,16.81625,13.79,13.2,1.856542,0,4,11,597,828,4,24,24,24,24,24,24,24,24,1,0,0,0,0
21-3,26.23,17.6875,9.67,86.8,59.61792,28.96,22.86655,FALSO,0,0,20.54,18.04833,15.07,12.6,2.218042,0,8,41,549,842,4,24,24,24,24,24,24,24,24,1,0,0,0,0
22-3,29.01,19.23709,10.51,80.8,51.50166,23.13,22.99864,FALSO,0,0,21.63,19.08459,16.03,22.2,2.907833,0,93,336,179,832,4,24,24,24,24,24,24,24,24,1,0,0,0,0
23-3,26.5,18.69542,10.65,80.8,54.97833,24.69,23.05598,FALSO,0,0,22.18,19.80375,16.92,12.9,2.21025,0,45,94,503,798,4,24,24,24,24,24,24,24,24,1,0,0,0,0
24-3,21.91,16.88542,13.74,90.2,60.26167,28.17,22.72738,FALSO,0,0,21.4,19.44709,17.4,23.4,9.078292,0,453,760,30,197,2,24,24,24,24,24,24,24,24,1,0,0,0,0
25-3,19.75,15.17958,10.08,83.5,60.525,35.11,21.81431,FALSO,0,0,20.26,18.35625,16.15,21.9,7.190166,0,410,701,94,235,2,24,24,24,24,24,24,24,24,1,0,0,0,0
26-3,18.92,15.415,12.71,71.3,51.10417,33.92,22.96037,FALSO,0,0,19.63,17.8525,16.03,29.4,10.4975,1.2,745,491,21,183,1,24,24,24,24,24,24,24,24,1,0,0,0,0
27-3,17.99,14.18667,9.65,79.3,56.84875,39.17,23.60617,FALSO,0,0,19.01,17.13417,15.06,34.2,11.25917,0.9,479,851,28,82,2,24,24,24,24,24,24,24,24,1,0,0,0,0
28-3,18.07,14.89875,12.78,70.3,54.23167,39.91,17.96306,FALSO,0,0,18.56,16.93542,15.39,35.1,16.13375,3.9,1074,217,13,136,1,24,24,24,24,24,24,24,24,1,0,0,0,0
29-3,19.46,15.44083,11.96,83.2,63.72084,50.8,13.16182,FALSO,0,0,19.06,16.94542,15.25,18.6,4.201458,0,195,196,695,354,3,24,24,24,24,24,24,24,24,1,0,0,0,0
